"# 9/27/2020","Country/ Other","Total Cases","New Cases","Total Deaths","New Deaths","Total Recovered","New Recovered","Active Cases","Serious/ Critical","Tot Cases/ 1M pop","Deaths/ 1M pop","Total Tests","Tests/ 1M pop",Population,Continent,"1 Case every X ppl","1 Death every X ppl","1 Test every X ppl"
171,Sint Maarten,633,+6,22,,532,,79,6,"14,723",512,"2,986","69,453","42,993",North America,68,"1,954",14
172,Papua New Guinea,532,,7,,516,,9,,59,0.8,"23,777","2,646","8,987,125",Australia/Oceania,"16,893","1,283,875",378
173,Taiwan,510,,7,,480,,23,,21,0.3,"93,181","3,911","23,827,305",Asia,"46,720","3,403,901",256
174,Tanzania,509,,21,,183,,305,7,8,0.3,,,"60,129,082",Africa,"118,132","2,863,290",
175,Burundi,485,,1,,472,,12,,41,0.08,"37,522","3,134","11,972,749",Africa,"24,686","11,972,749",319
176,Comoros,478,,7,,458,,13,,547,8,,,"873,963",Africa,"1,828","124,852",
177,Faeroe Islands,460,,,,423,+6,37,1,"9,405",,"127,384","2,604,564","48,908",Europe,106,,0
178,Saint Martin,383,+16,8,,273,,102,11,"9,865",206,"3,834","98,756","38,823",North America,101,"4,853",10
179,Gibraltar,379,+7,,,341,+6,38,,"11,250",,"45,726","1,357,298","33,689",Europe,89,,1
180,Eritrea,375,,,,341,,34,,105,,,,"3,558,150",Africa,"9,488",,
181,Mauritius,367,,10,,343,,14,,288,8,"246,326","193,609","1,272,284",Africa,"3,467","127,228",5
182,Curaçao,360,+23,1,,141,+7,218,1,"2,192",6,"1,080","6,575","164,256",North America,456,"164,256",152
183,Isle of Man,340,,24,,314,,2,,"3,993",282,"12,432","146,015","85,142",Europe,250,"3,548",7
184,Mongolia,313,,,,303,,10,1,95,,"68,149","20,709","3,290,851",Asia,"10,514",,48
185,Cambodia,276,+1,,,274,,2,,16,,"131,871","7,862","16,774,257",Asia,"60,776",,127
186,Bhutan,271,+8,,,205,+6,66,,350,,"133,619","172,713","773,649",Asia,"2,855",,6
187,Monaco,210,,2,,169,,39,1,"5,342",51,"51,953","1,321,657","39,309",Europe,187,"19,655",1
188,Cayman Islands,210,,1,,207,,2,,"3,186",15,"38,884","589,983","65,907",North America,314,"65,907",2
189,Barbados,190,,7,,178,,5,,661,24,"22,963","79,882","287,461",North America,"1,513","41,066",13
190,Bermuda,181,,9,,167,,5,,"2,909",145,"62,408","1,003,005","62,221",North America,344,"6,913",1
191,Brunei,146,,3,,142,,1,,333,7,"57,780","131,771","438,488",Asia,"3,003","146,163",8
192,Seychelles,143,,,,140,,3,,"1,452",,"5,200","52,795","98,495",Africa,689,,19
193,Liechtenstein,117,,1,,110,,6,,"3,066",26,900,"23,588","38,155",Europe,326,"38,155",42
194,Antigua and Barbuda,101,+3,3,,92,,6,,"1,029",31,"2,701","27,526","98,125",North America,972,"32,708",36
195,Caribbean Netherlands,85,,1,,21,,63,,"3,234",38,"2,194","83,479","26,282",North America,309,"26,282",12
196,British Virgin Islands,71,,1,,62,,8,2,"2,345",33,"4,410","145,641","30,280",North America,426,"30,280",7
197,St. Vincent Grenadines,64,,,,64,,0,,576,,"5,031","45,314","111,026",North America,"1,735",,22
